date,steps,calories
2019-11-01,0,0
2019-11-02,0,0
2019-11-03,0,0
2019-11-04,0,0
2019-11-05,0,0
2019-11-06,0,0
2019-11-07,9198,2281
2019-11-08,9865,2418
2019-11-09,13397,2610
2019-11-10,15800,2855
2019-11-11,13096,2545
2019-11-12,11578,2568
2019-11-13,11769,2413
2019-11-14,6142,2086
2019-11-15,10273,2334
2019-11-16,16118,2795
2019-11-17,7542,2276
2019-11-18,9480,2497
2019-11-19,11716,2542
2019-11-20,14211,2745
2019-11-21,10384,2360
2019-11-22,12639,2450
2019-11-23,15956,2979
2019-11-24,9351,2297
2019-11-25,8378,2283
2019-11-26,14863,2788
2019-11-27,2150,1778
2019-11-28,12326,2501
2019-11-29,13214,2362
2019-11-30,644,1803
2019-12-01,8346,2275
2019-12-02,12684,2543
2019-12-03,10057,2388
2019-12-04,10880,2442
2019-12-05,12663,2590
2019-12-06,13972,2804
2019-12-07,17145,2764
2019-12-08,20193,3136
2019-12-09,9881,2300
2019-12-10,14911,2788
2019-12-11,6734,2021
2019-12-12,8419,2196
2019-12-13,21336,2879
2019-12-14,18638,2941
2019-12-15,8988,2374
2019-12-16,3440,1850
2019-12-17,6784,2117
2019-12-18,7009,2160
2019-12-19,11392,2353
2019-12-20,11941,2386
2019-12-21,15700,2915
2019-12-22,12972,2521
2019-12-23,16109,2997
2019-12-24,12134,2417
2019-12-25,2367,1872
2019-12-26,4915,2152
2019-12-27,9438,2393
2019-12-28,14184,2811
2019-12-29,13724,2934
2019-12-30,10563,2533
2019-12-31,11895,2512
2020-01-01,1026,1671
2020-01-02,15516,2793
2020-01-03,12517,2547
2020-01-04,17854,2682
2020-01-05,0,1491
2020-01-06,12098,2626
2020-01-07,10160,2281
2020-01-08,11295,2578
2020-01-09,4892,1943
2020-01-10,17244,2757
2020-01-11,10608,2305
2020-01-12,12331,2386
2020-01-13,14310,2746
2020-01-14,11479,2375
2020-01-15,8160,2181
2020-01-16,10730,2244
2020-01-17,8114,2254
2020-01-18,7731,2381
2020-01-19,11814,2596
2020-01-20,13921,2572
2020-01-21,13855,2715
2020-01-22,9414,2244
2020-01-23,12283,2398
2020-01-24,9230,2325
2020-01-25,19225,2738
2020-01-26,15798,2607
2020-01-27,10003,2688
2020-01-28,10606,2422
2020-01-29,10134,2242
2020-01-30,12647,2413
2020-01-31,10562,2356
2020-02-01,22671,3114
2020-02-02,17885,2758
2020-02-03,10100,2626
2020-02-04,8597,2458
2020-02-05,11098,2399
2020-02-06,10308,2552
2020-02-07,15472,2725
2020-02-08,5667,2165
2020-02-09,16729,2914
2020-02-10,18227,2883
2020-02-11,9343,2212
2020-02-12,20445,2850
2020-02-13,12133,2423
2020-02-14,12357,2431
2020-02-15,15458,2454
2020-02-16,14045,2561
2020-02-17,11705,2405
2020-02-18,17129,2785
2020-02-19,15968,2814
2020-02-20,13922,2547
2020-02-21,17415,2795
2020-02-22,21384,2998
2020-02-23,11624,2519
2020-02-24,15410,3134
2020-02-25,15405,2864
2020-02-26,14304,2639
2020-02-27,12867,2685
2020-02-28,632,1552
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
